day,hour,SensorID,reading,belief,disbelief,uncertainity,atomicity,expectation
2017-05-31,12,1286,5.818585399043863,0.5725732787536298,0.4267814484241478,6.452728222223975E-4,0.5,0.57289591516
2017-05-31,13,1286,6.151416850883749,0.5725247795916306,0.4268300022432403,6.452181651290613E-4,0.5,0.57284738868
2017-05-31,14,1286,4.859113762171693,0.5726147824338483,0.4267401352485898,6.450823175619049E-4,0.5,0.57293732359
2017-05-31,15,1286,5.019367104900692,0.5738511061675917,0.4255056775844872,6.432162479211211E-4,0.5,0.5741727143
2017-05-31,16,1286,5.804456729678346,0.5737775612145346,0.4255793049723575,6.431338131078907E-4,0.5,0.57409912812
2017-05-31,17,1286,6.286031566831741,0.5735739818960044,0.4257831124781719,6.429056258237469E-4,0.5,0.57389543471
2017-05-31,18,1286,6.029893831430956,0.573454308311796,0.4259029202016944,6.427714865095894E-4,0.5,0.57377569405
2017-05-31,19,1286,6.515346599026149,0.5732288335918565,0.42612864765096004,6.425187571834597E-4,0.5,0.57355009297
2017-05-31,20,1286,6.293649185489935,0.573035274104016,0.42632242409509147,6.423018008925679E-4,0.5,0.573356425
2017-05-31,21,1286,7.685963255085827,0.5729663560103413,0.4263914194374412,6.422245522175181E-4,0.5,0.57328746829
2017-05-31,22,1286,8.529045993991762,0.5727260199014154,0.42663202493347563,6.419551651089775E-4,0.5,0.57304699749
2017-05-31,23,1286,8.621944725523964,0.5727500505880363,0.4266080303516121,6.419190603515715E-4,0.5,0.57307101012
2017-06-01,0,1286,9.672575259471111,0.5724714073441187,0.42688698588953844,6.416067663428234E-4,0.5,0.57279221073
2017-06-01,1,1286,8.500297018093823,0.5723563222299635,0.42700219998723243,6.414777828040823E-4,0.5,0.57267706112
2017-06-01,2,1286,8.500916452204283,0.5723623881243376,0.42699614319187384,6.414686837885323E-4,0.5,0.57268312246
2017-06-01,3,1286,10.065389488115109,0.5719461654522154,0.42741283234085614,6.410022069284366E-4,0.5,0.57226666656
2017-06-01,4,1286,7.1010443384171955,0.5720293252714584,0.4273297970518085,6.408776767330256E-4,0.5,0.57234976411
2017-06-01,5,1286,6.406879981609836,0.5720741976112125,0.4272849919075017,6.408104812858858E-4,0.5,0.57239460285
2017-06-01,6,1286,4.991348542312782,0.5721880516741972,0.4271713083387393,6.406399870635456E-4,0.5,0.57250837167
2017-06-01,7,1286,5.138774199738383,0.5722322385222018,0.4271271876596713,6.40573818126832E-4,0.5,0.57255252543
2017-06-01,8,1286,4.631113668168418,0.5723555627330834,0.42700404812437254,6.403891425440838E-4,0.5,0.5726757573
2017-06-01,9,1286,3.601489671258187,0.5723717116703777,0.4269879233697945,6.403649598277762E-4,0.5,0.57269189415
